"meshcode10km","nearest_block_no","area","station_name"
"362257","1493","沖縄","所野"
"362306","1354","沖縄","波照間"
"362326","1251","沖縄","大原"
"362327","1251","沖縄","大原"
"362335","47917","沖縄","西表島"
"362336","1251","沖縄","大原"
"362337","1251","沖縄","大原"
"362345","47917","沖縄","西表島"
"362346","47917","沖縄","西表島"
"362347","1251","沖縄","大原"
"362350","47912","沖縄","与那国島"
"362356","47917","沖縄","西表島"
"362420","47918","沖縄","石垣島"
"362430","47918","沖縄","石垣島"
"362431","47918","沖縄","石垣島"
"362440","47918","沖縄","石垣島"
"362441","47918","沖縄","石垣島"
"362442","1639","沖縄","盛山"
"362450","1250","沖縄","川平"
"362451","1250","沖縄","川平"
"362452","1145","沖縄","伊原間"
"362462","1145","沖縄","伊原間"
"362472","1145","沖縄","伊原間"
"362475","1491","沖縄","仲筋"
"364123","1595","東京","母島"
"372405","1491","沖縄","仲筋"
"372415","1491","沖縄","仲筋"
"372501","1483","沖縄","鏡原"
"372502","1483","沖縄","鏡原"
"372503","1248","沖縄","城辺"
"372511","1490","沖縄","下地島"
"372512","1483","沖縄","鏡原"
"372513","1248","沖縄","城辺"
"372521","1490","沖縄","下地島"
"372522","47927","沖縄","宮古島"
"372531","1490","沖縄","下地島"
"372532","47927","沖縄","宮古島"
"374102","1595","東京","母島"
"374112","1595","東京","母島"
"382354","47917","沖縄","西表島"
"383151","47945","沖縄","南大東"
"383152","1518","沖縄","旧東"
"383161","1518","沖縄","旧東"
"383162","1518","沖縄","旧東"
"383172","1517","沖縄","北大東"
"384112","1595","東京","母島"
"392636","47929","沖縄","久米島"
"392645","1534","沖縄","北原"
"392646","47929","沖縄","久米島"
"392705","0909","沖縄","糸数"
"392711","1152","沖縄","渡嘉敷"
"392712","1152","沖縄","渡嘉敷"
"392715","0909","沖縄","糸数"
"392716","0909","沖縄","糸数"
"392721","1152","沖縄","渡嘉敷"
"392722","1152","沖縄","渡嘉敷"
"392723","1152","沖縄","渡嘉敷"
"392725","1482","沖縄","安次嶺"
"392726","0909","沖縄","糸数"
"392727","1596","沖縄","宮城島"
"392735","0907","沖縄","胡屋"
"392736","0907","沖縄","胡屋"
"392737","1596","沖縄","宮城島"
"392741","1651","沖縄","渡名喜"
"392745","0906","沖縄","読谷"
"392746","0907","沖縄","胡屋"
"392747","1596","沖縄","宮城島"
"392755","0906","沖縄","読谷"
"392756","0906","沖縄","読谷"
"392757","1596","沖縄","宮城島"
"392761","1515","沖縄","粟国"
"392766","47940","沖縄","名護"
"392767","47940","沖縄","名護"
"392771","1515","沖縄","粟国"
"392776","1373","沖縄","本部"
"392777","47940","沖縄","名護"
"392840","1596","沖縄","宮城島"
"392850","1596","沖縄","宮城島"
"392860","1374","沖縄","東"
"392861","1374","沖縄","東"
"392870","1374","沖縄","東"
"392871","1374","沖縄","東"
"392872","1374","沖縄","東"
"394261","1595","東京","母島"
"394270","1595","東京","母島"
"394271","1595","東京","母島"
"402706","1373","沖縄","本部"
"402707","1373","沖縄","本部"
"402727","1147","沖縄","伊是名"
"402737","1147","沖縄","伊是名"
"402747","1147","沖縄","伊是名"
"402800","1586","沖縄","国頭"
"402801","1586","沖縄","国頭"
"402802","0901","沖縄","奥"
"402811","0901","沖縄","奥"
"402812","0901","沖縄","奥"
