"name","size"
"typeB_aichi_2019_12.zip", 356.48M
"typeB_akita_2019_12.zip", 103.43M
"typeB_aomori_2019_12.zip", 434.25M
"typeB_asahikawa_2019_12.zip", 275M
"typeB_chiba_2019_12.zip", 684.37M
"typeB_ehime_2019_12.zip", 402.07M
"typeB_fukui_2019_12.zip", 236.93M
"typeB_fukuoka_2019_12.zip",   1.24G
"typeB_fukushima_2019_12.zip", 296.62M
"typeB_gifu_2019_12.zip", 164.08M
"typeB_gumma_2019_12.zip", 498.6M
"typeB_hakodate_2019_12.zip", 241.15M
"typeB_hiroshima_2019_12.zip", 185.88M
"typeB_hyogo_2019_12.zip", 485.8M
"typeB_ibaraki_2019_12.zip", 810.85M
"typeB_ishikawa_2019_12.zip", 359.28M
"typeB_iwate_2019_12.zip", 664.99M
"typeB_kagawa_2019_12.zip", 173.2M
"typeB_kagoshima_2019_12.zip", 461.93M
"typeB_kanagawa_2019_12.zip",   1.53G
"typeB_kitami_2019_12.zip", 189.22M
"typeB_kochi_2019_12.zip", 263.42M
"typeB_kumamoto_2019_12.zip", 523.32M
"typeB_kushiro_2019_12.zip", 311.59M
"typeB_kyoto_2019_12.zip", 587.04M
"typeB_mie_2019_12.zip", 232.8M
"typeB_miyagi_2019_12.zip", 565.61M
"typeB_miyazaki_2019_12.zip", 375.71M
"typeB_nagano_2019_12.zip", 707.13M
"typeB_nagasaki_2019_12.zip", 132.43M
"typeB_nara_2019_12.zip", 768.74M
"typeB_niigata_2019_12.zip", 532.48M
"typeB_oita_2019_12.zip", 372.71M
"typeB_okayama_2019_12.zip", 225.83M
"typeB_okinawa_2019_12.zip", 360.41M
"typeB_osaka_2019_12.zip",   1.13G
"typeB_saga_2019_12.zip", 184.78M
"typeB_saitama_2019_12.zip", 727.38M
"typeB_sapporo_2019_12.zip",   1.09G
"typeB_shiga_2019_12.zip", 287.2M
"typeB_shimane_2019_12.zip", 252.46M
"typeB_shizuoka_2019_12.zip", 327.51M
"typeB_tochigi_2019_12.zip", 153.2M
"typeB_tokushima_2019_12.zip", 164.06M
"typeB_tokyo_2019_12.zip",   1.15G
"typeB_tottori_2019_12.zip", 286.85M
"typeB_toyama_2019_12.zip", 378.43M
"typeB_wakayama_2019_12.zip", 337.38M
"typeB_yamagata_2019_12.zip", 360.65M
"typeB_yamaguchi_2019_12.zip", 180.47M
"typeB_yamanashi_2019_12.zip", 107.92M
"typeB_fukushima_2020_02.zip", 276.4M
"typeB_yamagata_2020_02.zip", 336.09M
"typeB_akita_2020_02.zip",  95.82M
"typeB_miyagi_2020_02.zip", 525.08M
"typeB_iwate_2020_02.zip", 621.29M
"typeB_aomori_2020_02.zip", 403.62M
"typeB_kitami_2020_02.zip", 174.63M
"typeB_kushiro_2020_02.zip", 289.71M
"typeB_asahikawa_2020_02.zip", 254.62M
"typeB_hakodate_2020_02.zip", 225.91M
"typeB_sapporo_2020_02.zip",   1.02G
"typeB_ibaraki_2020_02.zip", 747.7M
"typeB_yamanashi_2020_02.zip",  98.91M
"typeB_kanagawa_2020_02.zip",   1.43G
"typeB_tokyo_2020_02.zip",   1.07G
"typeB_chiba_2020_02.zip", 629.85M
"typeB_saitama_2020_02.zip", 670.79M
"typeB_tochigi_2020_02.zip", 138.11M
"typeB_gumma_2020_02.zip", 464.98M
"typeB_kumamoto_2020_02.zip", 491.81M
"typeB_oita_2020_02.zip", 347.61M
"typeB_miyazaki_2020_02.zip", 354.93M
"typeB_kagoshima_2020_02.zip", 427.6M
"typeB_nagasaki_2020_02.zip", 123.85M
"typeB_aichi_2020_02.zip", 332.52M
"typeB_shizuoka_2020_02.zip", 302.22M
"typeB_gifu_2020_02.zip", 155.75M
"typeB_fukui_2020_02.zip", 217.6M
"typeB_ishikawa_2020_02.zip", 330.94M
"typeB_toyama_2020_02.zip", 351.27M
"typeB_niigata_2020_02.zip", 492.4M
"typeB_nagano_2020_02.zip", 652.37M
"typeB_hiroshima_2020_02.zip", 171.95M
"typeB_okayama_2020_02.zip", 212.26M
