"name","size"
"typeB_aichi_2019_12.zip",373793619
"typeB_akita_2019_12.zip",108457920
"typeB_aomori_2019_12.zip",455347285
"typeB_asahikawa_2019_12.zip",288358878
"typeB_chiba_2019_12.zip",717611747
"typeB_ehime_2019_12.zip",421596003
"typeB_fukui_2019_12.zip",248440412
"typeB_fukuoka_2019_12.zip",1334653595
"typeB_fukushima_2019_12.zip",311026388
"typeB_gifu_2019_12.zip",172052262
"typeB_gumma_2019_12.zip",522816433
"typeB_hakodate_2019_12.zip",252866804
"typeB_hiroshima_2019_12.zip",194913956
"typeB_hyogo_2019_12.zip",509400836
"typeB_ibaraki_2019_12.zip",850237940
"typeB_ishikawa_2019_12.zip",376731344
"typeB_iwate_2019_12.zip",697294488
"typeB_kagawa_2019_12.zip",181608191
"typeB_kagoshima_2019_12.zip",484367760
"typeB_kanagawa_2019_12.zip",1638581316
"typeB_kitami_2019_12.zip",198412718
"typeB_kochi_2019_12.zip",276215929
"typeB_kumamoto_2019_12.zip",548739206
"typeB_kushiro_2019_12.zip",326730158
"typeB_kyoto_2019_12.zip",615552889
"typeB_mie_2019_12.zip",244108579
"typeB_miyagi_2019_12.zip",593088322
"typeB_miyazaki_2019_12.zip",393955274
"typeB_nagano_2019_12.zip",741479403
"typeB_nagasaki_2019_12.zip",138866184
"typeB_nara_2019_12.zip",806079836
"typeB_niigata_2019_12.zip",558342535
"typeB_oita_2019_12.zip",390818485
"typeB_okayama_2019_12.zip",236796532
"typeB_okinawa_2019_12.zip",377913748
"typeB_osaka_2019_12.zip",1211762711
"typeB_saga_2019_12.zip",193755226
"typeB_saitama_2019_12.zip",762718150
"typeB_sapporo_2019_12.zip",1175401182
"typeB_shiga_2019_12.zip",301148104
"typeB_shimane_2019_12.zip",264720439
"typeB_shizuoka_2019_12.zip",343423423
"typeB_tochigi_2019_12.zip",160642277
"typeB_tokushima_2019_12.zip",172026693
"typeB_tokyo_2019_12.zip",1234035292
"typeB_tottori_2019_12.zip",300780488
"typeB_toyama_2019_12.zip",396813813
"typeB_wakayama_2019_12.zip",353763792
"typeB_yamagata_2019_12.zip",378165360
"typeB_yamaguchi_2019_12.zip",189240836
"typeB_yamanashi_2019_12.zip",113164879
"typeB_fukushima_2020_02.zip",289822480
"typeB_yamagata_2020_02.zip",352420143
"typeB_akita_2020_02.zip",100478945
"typeB_miyagi_2020_02.zip",550591222
"typeB_iwate_2020_02.zip",651464996
"typeB_aomori_2020_02.zip",423231342
"typeB_kitami_2020_02.zip",183113011
"typeB_kushiro_2020_02.zip",303781353
"typeB_asahikawa_2020_02.zip",266986870
"typeB_hakodate_2020_02.zip",236881362
"typeB_sapporo_2020_02.zip",1093732200
"typeB_ibaraki_2020_02.zip",784021524
"typeB_yamanashi_2020_02.zip",103709994
"typeB_kanagawa_2020_02.zip",1533841677
"typeB_tokyo_2020_02.zip",1146694912
"typeB_chiba_2020_02.zip",660444766
"typeB_saitama_2020_02.zip",703371548
"typeB_tochigi_2020_02.zip",144815584
"typeB_gumma_2020_02.zip",487561655
"typeB_kumamoto_2020_02.zip",515704466
"typeB_oita_2020_02.zip",364497064
"typeB_miyazaki_2020_02.zip",372174597
"typeB_kagoshima_2020_02.zip",448371090
"typeB_nagasaki_2020_02.zip",129870817
"typeB_aichi_2020_02.zip",348674334
"typeB_shizuoka_2020_02.zip",316897474
"typeB_gifu_2020_02.zip",163317185
"typeB_fukui_2020_02.zip",228169213
"typeB_ishikawa_2020_02.zip",347020373
"typeB_toyama_2020_02.zip",368334246
"typeB_niigata_2020_02.zip",516323096
"typeB_nagano_2020_02.zip",684061106
"typeB_hiroshima_2020_02.zip",180303676
"typeB_okayama_2020_02.zip",222572153
"typeB_shimane_2020_02.zip",246596537
"typeB_tottori_2020_02.zip",280879744
"typeB_wakayama_2020_02.zip",327331175
"typeB_nara_2020_02.zip",749009346
"typeB_hyogo_2020_02.zip",483867211
"typeB_osaka_2020_02.zip",1127755760
"typeB_kyoto_2020_02.zip",574111503
"typeB_shiga_2020_02.zip",284937418
"typeB_mie_2020_02.zip",227598371
"typeB_fukuoka_2020_02.zip",1224013392
"typeB_kochi_2020_02.zip",258501174
"typeB_ehime_2020_02.zip",391406773
"typeB_kagawa_2020_02.zip",168650105
"typeB_tokushima_2020_02.zip",159267996
"typeB_yamaguchi_2020_02.zip",178254208
"typeB_okinawa_2020_02.zip",351166702
"typeB_saga_2020_02.zip",179180164
"typeB_tochigi_2020_03.zip",153524948
"typeB_ibaraki_2020_03.zip",842486190
"typeB_fukushima_2020_03.zip",310954544
"typeB_yamagata_2020_03.zip",382605973
"typeB_akita_2020_03.zip",107869766
"typeB_miyagi_2020_03.zip",589716774
"typeB_iwate_2020_03.zip",696052342
"typeB_aomori_2020_03.zip",450753807
"typeB_kitami_2020_03.zip",196692813
"typeB_kushiro_2020_03.zip",323951893
"typeB_asahikawa_2020_03.zip",287870706
"typeB_hakodate_2020_03.zip",254052208
"typeB_sapporo_2020_03.zip",1189221066
"typeB_kyoto_2020_03.zip",622063000
"typeB_shiga_2020_03.zip",303738170
"typeB_mie_2020_03.zip",244285083
"typeB_aichi_2020_03.zip",374509245
"typeB_shizuoka_2020_03.zip",341332130
"typeB_gifu_2020_03.zip",173712077
"typeB_fukui_2020_03.zip",248877439
"typeB_ishikawa_2020_03.zip",369050165
"typeB_toyama_2020_03.zip",399463315
"typeB_niigata_2020_03.zip",568821387
"typeB_nagano_2020_03.zip",727957648
"typeB_yamanashi_2020_03.zip",110561831
"typeB_kanagawa_2020_03.zip",1618206394
"typeB_tokyo_2020_03.zip",1221092911
"typeB_chiba_2020_03.zip",706892099
"typeB_saitama_2020_03.zip",741313342
"typeB_gumma_2020_03.zip",519653717
"typeB_osaka_2020_03.zip",1088190825
"typeB_okayama_2020_03.zip",237215880
"typeB_shimane_2020_03.zip",264309521
"typeB_tottori_2020_03.zip",307061528
"typeB_wakayama_2020_03.zip",348886294
"typeB_nara_2020_03.zip",800489689
"typeB_hyogo_2020_03.zip",519813597
"typeB_saga_2020_03.zip",187741675
"typeB_fukuoka_2020_03.zip",1329905558
"typeB_kochi_2020_03.zip",275372265
"typeB_ehime_2020_03.zip",426837726
"typeB_kagawa_2020_03.zip",181681094
"typeB_tokushima_2020_03.zip",173230665
"typeB_yamaguchi_2020_03.zip",190369378
"typeB_hiroshima_2020_03.zip",195280937
"typeB_okinawa_2020_03.zip",376298202
"typeB_kagoshima_2020_03.zip",484680370
"typeB_miyazaki_2020_03.zip",402639629
"typeB_oita_2020_03.zip",388683021
"typeB_kumamoto_2020_03.zip",566998907
"typeB_nagasaki_2020_03.zip",138743844
"typeB_iwate_2020_04.zip",675217565
"typeB_aomori_2020_04.zip",434715096
"typeB_kitami_2020_04.zip",190708340
"typeB_kushiro_2020_04.zip",314232992
"typeB_asahikawa_2020_04.zip",279440297
"typeB_hakodate_2020_04.zip",245187691
"typeB_sapporo_2020_04.zip",1154043398
"typeB_tochigi_2020_04.zip",146602405
"typeB_ibaraki_2020_04.zip",814451364
"typeB_fukushima_2020_04.zip",300305249
"typeB_yamagata_2020_04.zip",371452937
"typeB_akita_2020_04.zip",105891974
"typeB_miyagi_2020_04.zip",574381255
"typeB_gumma_2020_04.zip",503270068
"typeB_saitama_2020_04.zip",725571579
"typeB_chiba_2020_04.zip",689504105
"typeB_tokyo_2020_04.zip",1139085934
"typeB_kanagawa_2020_04.zip",1601853124
"typeB_yamanashi_2020_04.zip",100759890
"typeB_fukui_2020_04.zip",246836818
"typeB_ishikawa_2020_04.zip",355620075
"typeB_toyama_2020_04.zip",378809013
"typeB_nagano_2020_04.zip",701979099
"typeB_niigata_2020_04.zip",553938873
"typeB_gifu_2020_04.zip",164537634
"typeB_kyoto_2020_04.zip",604401886
"typeB_osaka_2020_04.zip",1162994463
"typeB_shiga_2020_04.zip",293785658
"typeB_mie_2020_04.zip",235076951
"typeB_shizuoka_2020_04.zip",330698717
"typeB_aichi_2020_04.zip",363817129
"typeB_hyogo_2020_04.zip",498526211
"typeB_okayama_2020_04.zip",228377070
"typeB_shimane_2020_04.zip",250377834
"typeB_tottori_2020_04.zip",295698907
"typeB_wakayama_2020_04.zip",344052670
"typeB_nara_2020_04.zip",777228689
"typeB_ehime_2020_04.zip",408031519
"typeB_kagawa_2020_04.zip",174097918
"typeB_kochi_2020_04.zip",263683791
"typeB_tokushima_2020_04.zip",166690177
"typeB_yamaguchi_2020_04.zip",183986558
"typeB_oita_2020_04.zip",378578092
"typeB_miyazaki_2020_04.zip",393022221
"typeB_kumamoto_2020_04.zip",586478426
"typeB_saga_2020_04.zip",183294331
"typeB_nagasaki_2020_04.zip",134217498
"typeB_fukuoka_2020_04.zip",1280538188
"typeB_kagoshima_2020_04.zip",471397959
"typeB_okinawa_2020_04.zip",359059458
"typeB_okinawa_2020_05.zip",371070463
"typeB_fukuoka_2020_05.zip",1321429069
"typeB_saga_2020_05.zip",188457064
"typeB_nagasaki_2020_05.zip",138644268
"typeB_kumamoto_2020_05.zip",615139531
"typeB_oita_2020_05.zip",390854811
"typeB_miyazaki_2020_05.zip",407592768
"typeB_kagoshima_2020_05.zip",487571185
"typeB_hiroshima_2020_05.zip",192394412
"typeB_yamaguchi_2020_05.zip",190526649
"typeB_tokushima_2020_05.zip",171882933
"typeB_kagawa_2020_05.zip",179960753
"typeB_ehime_2020_05.zip",421465670
"typeB_kochi_2020_05.zip",272957600
"typeB_hyogo_2020_05.zip",516581921
"typeB_nara_2020_05.zip",801439785
"typeB_wakayama_2020_05.zip",355745510
"typeB_tottori_2020_05.zip",302715712
"typeB_shimane_2020_05.zip",255714856
"typeB_okayama_2020_05.zip",236035139
"typeB_osaka_2020_05.zip",1205232655
"typeB_kitami_2020_05.zip",196796283
"typeB_kushiro_2020_05.zip",324948625
"typeB_asahikawa_2020_05.zip",288105582
"typeB_sapporo_2020_05.zip",1195117594
"typeB_tokyo_2020_05.zip",1162400459
"typeB_hakodate_2020_05.zip",252786367
"typeB_iwate_2020_05.zip",696491654
"typeB_aomori_2020_05.zip",449906596
"typeB_miyagi_2020_05.zip",591256904
"typeB_saitama_2020_05.zip",748697621
"typeB_gumma_2020_05.zip",519460939
"typeB_tochigi_2020_05.zip",146232477
"typeB_fukushima_2020_05.zip",308465694
"typeB_akita_2020_05.zip",107661194
"typeB_ibaraki_2020_05.zip",846463152
"typeB_yamagata_2020_05.zip",383672377
"typeB_chiba_2020_05.zip",711503220
"typeB_fukui_2020_05.zip",254451938
"typeB_toyama_2020_05.zip",386732439
"typeB_gifu_2020_05.zip",169511025
"typeB_niigata_2020_05.zip",570340068
"typeB_ishikawa_2020_05.zip",366554091
"typeB_nagano_2020_05.zip",724393594
"typeB_kanagawa_2020_05.zip",1652103199
"typeB_yamanashi_2020_05.zip",103852295
"typeB_shizuoka_2020_05.zip",339058943
"typeB_mie_2020_05.zip",241743564
"typeB_shiga_2020_05.zip",302561682
"typeB_aichi_2020_05.zip",375074425
"typeB_kyoto_2020_05.zip",621320953
"typeB_saga_2020_06.zip",182391709
"typeB_nagasaki_2020_06.zip",134294627
"typeB_kumamoto_2020_06.zip",600119646
"typeB_oita_2020_06.zip",379170919
"typeB_miyazaki_2020_06.zip",396041327
"typeB_kagoshima_2020_06.zip",473104497
"typeB_okinawa_2020_06.zip",360909501
"typeB_ibaraki_2020_06.zip",817626891
"typeB_tokyo_2020_06.zip",1174818883
"typeB_ehime_2020_06.zip",412904619
"typeB_kochi_2020_06.zip",269069000
"typeB_fukuoka_2020_06.zip",1288136146
"typeB_shimane_2020_06.zip",251798610
"typeB_okayama_2020_06.zip",229547128
"typeB_hiroshima_2020_06.zip",187608311
"typeB_yamaguchi_2020_06.zip",183438227
"typeB_tokushima_2020_06.zip",166993270
"typeB_kagawa_2020_06.zip",175181391
"typeB_toyama_2020_06.zip",383432139
"typeB_ishikawa_2020_06.zip",359895158
"typeB_fukui_2020_06.zip",247685605
"typeB_gifu_2020_06.zip",167380508
"typeB_shizuoka_2020_06.zip",329124366
"typeB_aichi_2020_06.zip",364224244
"typeB_mie_2020_06.zip",236814532
"typeB_shiga_2020_06.zip",292315413
"typeB_kyoto_2020_06.zip",603814746
